nome,ibge,pop,bairros,tenant_fox,segmento,iptu,itbi,iss,rcl,itbi_sobre_iptu,itbi_per_capita,sinal_rreo,rreo2025,rreo2024,rreo2023
Teresina,2211001,868523,123,,A,166321115.49,60780168.91,517086479.87,4797943339.54,0.37,69.98,,1,1,1
Picos,2208007,82028,27,,A,7062109.53,2026834.1,29848574.46,415299101.57,0.29,24.71,,1,1,1
Parnaíba,2207702,163087,46,,A,4161750.91,3189881.43,37592448.84,785975077.23,0.77,19.56,,1,1,1
São Raimundo Nonato,2210607,39036,0,,A,1675237.92,793235.33,8352324.36,230517752.88,0.47,20.32,,1,1,1
Piripiri,2208403,65762,30,SIM,A,1533757.0,739770.82,11347641.59,347129013.8,0.48,11.25,,1,1,1
Floriano,2203909,62593,40,,A,1208394.93,2126557.92,15072170.88,327657647.01,1.76,33.97,,1,1,1
Oeiras,2207009,38192,0,,A,1099628.12,359936.73,5837364.95,193358981.49,0.33,9.42,,1,1,0
Campo Maior,2202208,45252,21,SIM,A,1043286.12,683900.35,6583486.23,278078695.35,0.66,15.11,,1,1,1
Bom Jesus,2201903,28857,10,,A,1022220.5,1771552.43,10675718.44,228634746.21,1.73,61.39,,1,1,0
Barras,2201200,47909,15,,fronteira,882360.99,262455.88,4169827.22,298302880.15,0.3,5.48,,1,1,1
Corrente,2202901,27419,15,SIM,fronteira,751324.67,1172231.09,4305600.99,143794967.87,1.56,42.75,,1,1,1
Paulistana,2207801,21080,17,,fronteira,558220.85,206409.61,4307403.7,131813684.76,0.37,9.79,,1,1,1
Guadalupe,2204501,10305,0,SIM,fronteira,479550.71,1365793.32,887530.33,74241613.93,2.85,132.54,,1,1,1
Canto do Buriti,2202307,19355,0,SIM,fronteira,456198.66,218481.62,3501640.32,105034067.35,0.48,11.29,,1,1,1
Jaicós,2205201,17408,0,SIM,fronteira,430221.33,36751.47,874477.99,96104011.16,0.09,2.11,,1,0,0
Curimatá,2203206,11044,0,,fronteira,415053.3,60520,1408284.94,70180105.7,0.15,5.48,,1,0,0
José de Freitas,2205508,42575,0,,fronteira,401437.41,485783.5,2836418.7,203190820.85,1.21,11.41,,1,1,1
Regeneração,2208809,17108,0,SIM,fronteira,278266.35,376958.1,2235156.63,121561980.04,1.35,22.03,,1,1,1
Pedro II,2207900,37945,0,,fronteira,255819.36,286982.97,1995560.52,176846522.19,1.12,7.56,,1,1,1
Altos,2200400,46826,17,,fronteira,245126.56,143990.05,1594975.39,61291456.31,0.59,3.08,,1,1,1
Valença do Piauí,2211308,22316,0,,fronteira,220854.56,214031.01,3012265.88,97600583.16,0.97,9.59,,1,1,0
Itaueira,2205102,9939,0,,fronteira,215467.72,129504.07,921203.03,51829510.21,0.6,13.03,,1,1,1
Esperantina,2203701,40968,0,,fronteira,199035.99,394462.75,2886192.8,222826436.77,1.98,9.63,,1,1,1
Castelo do Piauí,2202604,19266,0,SIM,fronteira,171418.68,76404.78,1676734.77,87350897.13,0.45,3.97,,1,0,0
Pio IX,2208205,17586,0,SIM,fronteira,128106.42,600876,841045.15,78198006.02,4.69,34.17,,1,0,0
Elesbão Veloso,2203503,13574,15,,fronteira,125339.69,56507.13,1285918.52,68612996.66,0.45,4.16,,1,1,1
Amarante,2200509,17194,0,SIM,fronteira,124402.87,50358.44,2301624.54,113319793.98,0.4,2.93,,1,1,1
Beneditinos,2201606,9803,0,,fronteira,121963.98,48448.83,932737.21,72159591.19,0.4,4.94,,1,0,0
Agricolândia,2200103,4962,0,SIM,fronteira,115871.34,32548.11,594588.86,42158491.37,0.28,6.56,,1,0,0
Betânia do Piauí,2201739,6222,0,,fronteira,105008.23,37392.65,2105519.45,50647398.07,0.36,6.01,,1,1,1
Acauã,2200053,6422,0,,B,98409.89,11497.96,227254.87,40163387.41,0.12,1.79,,1,1,0
Coivaras,2202737,4110,0,SIM,B,86144.0,0,537956.93,37874414.65,0.0,0.0,,1,1,1
Barra D'Alcântara,2201176,3998,0,,B,82779.24,12560,276397.48,35242240.19,0.15,3.14,,1,0,1
Santa Cruz do Piauí,2209104,5834,0,,B,79271.17,10417.39,1113988.56,45524969.71,0.13,1.79,,1,1,1
Cocal de Telha,2202711,4927,0,,B,74538.48,7100,610054.16,42256288.12,0.1,1.44,,1,1,1
Inhuma,2204709,14803,0,SIM,B,72454.31,51610.58,707572.51,69241798.93,0.71,3.49,,1,0,1
Lagoa Alegre,2205557,8263,0,SIM,B,66242.62,0,378475.03,54022950.65,0.0,0.0,,1,1,1
Porto,2208502,12122,0,SIM,B,63244.47,17704.5,1046109.61,93656684.5,0.28,1.46,,1,0,0
Queimada Nova,2208650,8734,0,,B,55382.87,21931.53,1036594.88,62029265.34,0.4,2.51,,1,0,0
Sussuapara,2210938,6221,0,SIM,B,54604.55,2434.27,619709.34,45482145.15,0.04,0.39,,1,1,1
Colônia do Piauí,2202778,6991,0,,B,53595.98,35700,315252.32,47638605.73,0.67,5.11,,1,0,1
Pavussu,2207850,3620,0,,B,51122.26,9037.06,188035.97,31725527.59,0.18,2.5,,1,1,1
Assunção do Piauí,2201051,7467,0,,B,50939.41,3125,555116.57,49359798.14,0.06,0.42,,1,0,0
Cristalândia do Piauí,2203008,7369,0,,B,50732.94,57741.93,980142.56,49527124.91,1.14,7.84,,1,0,0
Miguel Alves,2206209,32151,0,SIM,B,48316.5,6145.4,1533619.41,224599385.36,0.13,0.19,,1,1,1
Santo Antônio de Lisboa,2209401,5842,0,,B,47897.39,44087.53,40742526.7,77029541.38,0.92,7.55,,1,1,1
Lagoa do Piauí,2205581,4805,0,SIM,B,45860.36,75281.77,512681.0,36158375.2,1.64,15.67,,1,1,1
Novo Oriente do Piauí,2206902,6081,0,,B,43987.99,25312.3,956792.19,35434484.7,0.58,4.16,,1,0,0
São Félix do Piauí,2209609,2842,10,,B,40788.44,18961.21,621023.96,31358675.21,0.46,6.67,,1,0,1
Santa Cruz dos Milagres,2209153,3432,0,,B,39784.96,10970.11,406245.67,29549801.22,0.28,3.2,,1,0,0
Palmeirais,2207504,13156,0,SIM,B,39505.47,38031.15,1849325.07,83148255.41,0.96,2.89,,1,1,0
Aroeiras do Itaim,2200954,2709,0,,B,33335.48,0,251642.75,27970084.21,0.0,0.0,,1,0,0
Ribeiro Gonçalves,2208908,6164,5,,B,32663.16,45773.45,10119832.76,81727789.96,1.4,7.43,,1,1,1
Cocal,2202703,28121,7,,B,32308.87,106109.31,2459538.54,145671750.69,3.28,3.77,,1,1,1
Vila Nova do Piauí,2211605,2764,0,,B,31552.38,9640.13,299848.22,39402424.15,0.31,3.49,,1,0,0
Parnaguá,2207603,9429,0,,B,31252.47,44299.31,777182.91,55548826.25,1.42,4.7,,1,1,1
Sebastião Leal,2210631,4427,0,SIM,B,30016.25,454374.83,2801064.57,52083699.12,15.14,102.64,,1,0,0
Nazaré do Piauí,2206704,6660,0,,B,28945.2,189801.4,1741092.83,40298352.22,6.56,28.5,,1,0,0
Alvorada do Gurguéia,2200459,5327,0,,B,27928.49,570643.24,606485.54,41352604.01,20.43,107.12,,1,1,1
Santo Inácio do Piauí,2209500,3645,0,,B,27080.63,2290,160725.39,37730715.82,0.08,0.63,,1,0,0
Jacobina do Piauí,2205151,5630,0,,B,25746.21,9717.28,416157.13,60015707.24,0.38,1.73,,1,1,0
Dom Expedito Lopes,2203404,6315,0,,B,25661.7,5759.19,1460185.35,39405268.83,0.22,0.91,,1,0,0
Júlio Borges,2205524,5388,0,,B,24415.84,3870.59,688464.77,46048060.51,0.16,0.72,,1,1,1
São José do Piauí,2210201,6600,0,,B,23362.77,3435.19,428058.0,37157478.16,0.15,0.52,,1,0,1
Sigefredo Pacheco,2210656,9465,0,,B,23215.38,13473.35,684176.26,44565646.84,0.58,1.42,,1,1,1
Cajueiro da Praia,2202083,7963,0,,B,22046.81,183721,902887.64,11182760.42,8.33,23.07,,1,1,0
Monsenhor Gil,2206407,10260,0,SIM,B,22022.65,24984.32,450371.58,59114577,1.13,2.44,,1,0,0
Cocal dos Alves,2202729,6362,0,SIM,B,21718.54,3360,461108.16,41478611.15,0.15,0.53,,1,1,1
Eliseu Martins,2203602,4377,0,SIM,B,21215.25,13188.7,961950.38,31042053.64,0.62,3.01,,1,0,0
Lagoa do Sítio,2205599,4529,0,,B,20894.48,13443.29,779071.06,35521800.36,0.64,2.97,,1,1,1
São Miguel do Tapuio,2210409,17544,0,,B,20762.2,5242.66,776329.69,109912182.5,0.25,0.3,,1,1,1
Jerumenha,2205300,4435,0,SIM,B,20121.11,190231.24,743530.72,31995971.82,9.45,42.89,,1,0,0
Coronel José Dias,2202851,4243,0,,B,19942.48,40380.68,392251.55,34131232.15,2.02,9.52,,1,0,0
Buriti dos Montes,2202026,7440,0,,B,19311.26,1820.88,595227.86,65446517.53,0.09,0.24,,1,0,0
Avelino Lopes,2201101,10806,0,SIM,B,18142.38,20216.19,801718.14,57797698.02,1.11,1.87,,1,1,0
Landri Sales,2205607,5315,0,SIM,B,15183.24,8016.73,317254.7,47768511.12,0.53,1.51,,1,1,1
Santa Rosa do Piauí,2209377,4645,0,,B,14273.81,22112.98,484179.07,32014916.71,1.55,4.76,,1,0,0
São Francisco do Piauí,2209708,5386,0,,B,13730.2,5540,133132.23,43265703.83,0.4,1.03,,1,0,0
Batalha,2201507,26300,0,SIM,B,13490.74,66663.34,1544092.04,120426086.1,4.94,2.53,,1,1,1
Boqueirão do Piauí,2201945,6594,0,,B,13309.25,11442.73,1031872.18,43248324.17,0.86,1.74,,1,1,1
Passagem Franca do Piauí,2207751,4144,0,,B,13262.49,29645.85,1444341.49,39752868.01,2.24,7.15,,1,1,1
Cabeceiras do Piauí,2202059,10001,0,,B,12955.02,1319.21,698891.87,63551649.53,0.1,0.13,,1,0,1
Alegrete do Piauí,2200277,4571,0,,B,12532.27,0,380211.55,35085550.52,0.0,0.0,,1,0,0
São João do Arraial,2209971,8202,0,,B,12325,12401.25,613180.12,57756982.87,1.01,1.51,,1,0,0
Campo Largo do Piauí,2202174,7422,0,,B,12050,18372,657435.66,61100152.22,1.52,2.48,,1,0,0
Curral Novo do Piauí,2203271,5073,0,,B,11591.62,4023.46,4856194.65,53997036.1,0.35,0.79,,1,0,0
Barro Duro,2201408,6641,0,,B,11534.56,36204.86,305579.12,43786744.38,3.14,5.45,,1,1,1
Wall Ferraz,2211704,4020,0,SIM,B,11324.43,4673.01,226070.64,47119321.45,0.41,1.16,,1,0,0
Bocaina,2201804,4078,0,SIM,B,10028,2594.87,398801.34,32366019.91,0.26,0.64,,1,1,1
Murici dos Portelas,2206696,9841,0,SIM,B,10000,80,117605.27,46897839.76,0.01,0.01,,1,1,1
Socorro do Piauí,2210904,4151,0,SIM,B,9619.25,2924.99,745914.2,37017000.75,0.3,0.7,,1,1,0
Brasileira,2201960,8438,7,SIM,B,9294.58,1728.17,1459429.32,54777177.43,0.19,0.2,,1,0,1
Lagoinha do Piauí,2205540,2934,0,,B,8690.08,1561.79,95545.09,26713373.98,0.18,0.53,,1,0,1
Patos do Piauí,2207777,5425,0,,B,8646.31,16936.47,295428.43,44823329.52,1.96,3.12,,1,0,0
São João da Fronteira,2209872,5525,0,SIM,B,8505.51,342.34,917796.15,39197675.91,0.04,0.06,,1,1,1
Redenção do Gurguéia,2208700,8393,0,SIM,B,8473.26,323007.19,586607.54,48562889.28,38.12,38.49,,1,1,1
Sebastião Barros,2210623,3187,0,,B,7687.35,49779.09,774106.45,33847254.56,6.48,15.62,,1,1,0
Nossa Senhora de Nazaré,2206753,5195,0,,B,6762.12,4550.81,1528673.61,53245843.5,0.67,0.88,,1,1,1
Boa Hora,2201770,6989,0,SIM,B,6421.41,2488.58,757741.23,30047886.54,0.39,0.36,,1,1,0
Novo Santo Antônio,2206951,2820,0,,B,6085.66,3003.24,154742.26,32332426.99,0.49,1.06,,1,0,0
São Miguel da Baixa Grande,2210383,2269,0,,B,5797.88,27416.55,275239.84,27179558.85,4.73,12.08,,1,0,0
Massapê do Piauí,2206050,5233,0,,B,5385.32,10760,255354.27,34800716.95,2.0,2.06,,1,1,1
Fronteiras,2204303,10293,0,,B,5313.72,4991.93,778819.36,69697754.86,0.94,0.48,,1,1,1
Olho D'Água do Piauí,2207108,2646,0,,B,5024.07,0,100701.9,28022770.97,0.0,0.0,,1,1,1
Guaribas,2204550,4281,0,,B,4673.82,82334.36,355656.57,41176376.19,17.62,19.23,,1,1,1
Juazeiro do Piauí,2205516,5215,0,,B,4251.18,6325.1,504914.05,41014049.36,1.49,1.21,,1,1,1
Fartura do Piauí,2203750,5284,0,,B,3807.96,17640.33,126593.65,41164303.1,4.63,3.34,,1,1,1
Marcos Parente,2206001,4729,0,SIM,B,3616.52,38606.16,444799.13,28840931.11,10.67,8.16,,1,1,1
Bom Princípio do Piauí,2201919,5636,0,,B,3159.74,3267.45,312901.27,39814765.43,1.03,0.58,,1,0,0
Currais,2203230,4832,0,,B,3076.79,380555.92,910811.42,64516069.78,123.69,78.76,,1,0,0
Campinas do Piauí,2202109,4948,0,,B,3033.79,2960,568324.95,46710755.89,0.98,0.6,,1,0,0
Isaías Coelho,2204907,7782,0,,B,2406.47,0,458069.88,53443036.07,0.0,0.0,,1,1,0
Prata do Piauí,2208601,3042,0,,B,2022.06,500,801748.28,31011455.72,0.25,0.16,,1,0,0
Paes Landim,2207306,4100,0,,B,1624.11,8440.24,467015.68,37765941.42,5.2,2.06,,1,0,0
Lagoa de São Francisco,2205573,6329,0,,B,1485.56,2475,737602.4,47558708.95,1.67,0.39,,1,1,1
Capitão de Campos,2202406,11108,0,SIM,B,1436.79,38808.97,673897.62,67285854.87,27.01,3.49,,1,0,1
São Miguel do Fidalgo,2210391,2824,0,,B,1402.33,9366.21,429690.77,31940727.2,6.68,3.32,,1,0,0
Curralinhos,2203255,4396,0,,B,1317,6009,780743.22,42679248.79,4.56,1.37,,1,0,0
Dirceu Arcoverde,2203354,7061,0,,B,1256.62,3317,521668.76,46504253.14,2.64,0.47,,1,1,1
Matias Olímpio,2206100,10712,0,SIM,B,1256.33,5859.33,945609.64,63648777.13,4.66,0.55,,1,1,1
Madeiro,2205854,8046,0,,B,1231,0,159801.24,43253936.92,0.0,0.0,,1,1,1
Monte Alegre do Piauí,2206605,10683,0,,B,1115,853282.42,1328042.28,81723698.67,765.28,79.87,,1,1,1
Miguel Leão,2206308,1318,0,,B,1004.05,565,149998.2,29043933.62,0.56,0.43,,1,0,0
Santa Filomena,2209203,6084,0,,B,780,2866395.73,2741073.03,61119486.81,3674.87,471.14,,1,1,1
Nossa Senhora dos Remédios,2206803,8523,0,,B,775,992.13,936398.17,84868685.86,1.28,0.12,,1,1,1
Dom Inocêncio,2203453,9036,0,SIM,B,761.32,794.52,4281196.46,62807139.89,1.04,0.09,,1,1,1
São Gonçalo do Piauí,2209807,4842,0,SIM,B,648.62,4500,799816.84,32846131.07,6.94,0.93,,1,1,0
Pajeú do Piauí,2207355,3001,0,,B,534.6,0,11729.47,5588796.48,0.0,0.0,,1,1,1
Ribeira do Piauí,2208874,4043,0,,B,445.3,20249.35,3130162.85,40152962.86,45.47,5.01,,1,0,1
Flores do Piauí,2203800,4415,0,,B,328.2,2761.21,439198.26,33266269.84,8.41,0.63,,1,1,1
Pau D'Arco do Piauí,2207793,3879,0,,B,300,200,131111.82,29766833.19,0.67,0.05,,1,1,1
São Gonçalo do Gurguéia,2209757,2960,0,,B,279.1,83.25,4313897.97,45005378.71,0.3,0.03,,1,1,1
Santo Antônio dos Milagres,2209450,2141,0,,B,250,193,518203.49,28393807.81,0.77,0.09,,1,0,0
Capitão Gervásio Oliveira,2202455,3974,0,,B,249,466.5,1259357.42,33988891.57,1.87,0.12,,1,0,0
Barreiras do Piauí,2201309,3271,0,,B,200,211083.9,555496.37,33554898.09,1055.42,64.53,,1,1,0
Floresta do Piauí,2203859,2334,0,,B,200,1072.77,843723.06,30861816.84,5.36,0.46,,1,0,0
Hugo Napoleão,2204600,3526,0,,B,177.81,9286.42,583717.99,33463797.48,52.23,2.63,,1,0,0
Manoel Emídio,2205904,5212,0,SIM,B,167.14,0,1010412.16,37200757.67,0.0,0.0,,1,0,0
São Francisco de Assis do Piauí,2209658,5561,0,,B,37.95,0,1671769.65,40826289.05,0.0,0.0,,1,1,0
Água Branca,2200202,,9,,B,,,,,,,NUNCA_3ANOS,0,0,0
Alagoinha do Piauí,2200251,,0,SIM,B,,,,,,,NUNCA_3ANOS,0,0,0
Alto Longá,2200301,,0,,B,,,,,,,FALHOU_2025,0,1,1
Angical do Piauí,2200608,,0,,B,,,,,,,FALHOU_2025,0,0,1
Anísio de Abreu,2200707,,0,,B,,,,,,,FALHOU_2025,0,0,1
Antônio Almeida,2200806,,0,SIM,B,,,,,,,NUNCA_3ANOS,0,0,0
Aroazes,2200905,,0,,B,,,,,,,FALHOU_2025,0,1,1
Arraial,2201002,,0,,B,,,,,,,FALHOU_2025,0,0,1
Baixa Grande do Ribeiro,2201150,,9,,B,,,,,,,NUNCA_3ANOS,0,0,0
Bela Vista do Piauí,2201556,4093,0,,B,0,0,245706.99,30959371.6,,0.0,,1,0,0
Belém do Piauí,2201572,,0,,B,,,,,,,NUNCA_3ANOS,0,0,0
Bertolínia,2201705,,0,SIM,B,,,,,,,NUNCA_3ANOS,0,0,0
Bonfim do Piauí,2201929,,0,,B,,,,,,,NUNCA_3ANOS,0,0,0
Brejo do Piauí,2201988,,0,,B,,,,,,,NUNCA_3ANOS,0,0,0
Buriti dos Lopes,2202000,,0,,B,,,,,,,FALHOU_2025,0,0,1
Cajazeiras do Piauí,2202075,3113,0,,B,0,1100,344194.56,35427582.15,,0.35,,1,1,1
Caldeirão Grande do Piauí,2202091,,0,,B,,,,,,,NUNCA_3ANOS,0,0,0
Campo Alegre do Fidalgo,2202117,,0,,B,,,,,,,NUNCA_3ANOS,0,0,0
