municipio;cod_ibge;bairro;cep;cnae;carga_instalada_kw;nivel_tensao
Teresina;2211001;DISTRITO INDUSTRIAL;64027-460;1113-5/02;4311,4;MT
Floriano;2203909;CENTRO;64800-128;8411-6/00;3855,4;MT
Baixa Grande do Ribeiro;2201150;RURAL;64868-000;0115-6/00;3082,6;MT
Uruçuí;2211209;ZONA RURAL;64860-000;8411-6/00;2958,6;MT
Baixa Grande do Ribeiro;2201150;RURAL;64868-000;0115-6/00;2945,8;MT
Baixa Grande do Ribeiro;2201150;RURAL;64868-000;0115-6/00;2744,0;MT
Teresina;2211001;CABRAL;64000-810;8112-5/00;2163,5;MT
União;2211100;ZONA RURAL;64120-000;1931-4/00;1850,8;MT
Baixa Grande do Ribeiro;2201150;RURAL;64868-000;0111-3/99;1493,3;MT
Antônio Almeida;2200806;ZONA RURAL;64855-000;0810-0/04;1465,0;MT
